poc,x,y,w,h
6720,304.0,306.0,120.0,47.0
6750,306.0,308.0,120.0,47.0
6780,292.0,312.0,120.0,47.0
6810,292.0,313.0,120.0,47.0
6840,289.0,315.0,120.0,47.0
6870,304.0,305.0,118.0,51.0
6900,289.0,313.0,118.0,51.0
6930,311.0,303.0,118.0,51.0
6960,310.0,302.0,118.0,51.0
6990,307.0,304.0,118.0,51.0
7020,307.0,303.0,118.0,51.0
7020,304.0,305.0,117.0,48.0
7050,304.0,305.0,117.0,48.0
7080,307.0,305.0,117.0,48.0
7110,303.0,307.0,117.0,48.0
7140,306.0,305.0,117.0,48.0
7170,302.0,307.0,117.0,48.0
7170,310.0,305.0,110.0,49.0
7200,310.0,305.0,110.0,49.0
7230,320.0,303.0,110.0,49.0
7260,298.0,308.0,110.0,49.0
7290,315.0,304.0,110.0,49.0
7320,313.0,306.0,110.0,49.0
7320,309.0,303.0,113.0,53.0
7350,309.0,302.0,113.0,53.0
7380,308.0,303.0,113.0,53.0
7410,308.0,302.0,113.0,53.0
7440,309.0,302.0,113.0,53.0
7470,315.0,302.0,113.0,53.0
7470,302.0,304.0,123.0,52.0
7500,306.0,304.0,123.0,52.0
7530,313.0,316.0,123.0,52.0
7560,300.0,307.0,123.0,52.0
7590,300.0,306.0,123.0,52.0
7620,290.0,309.0,123.0,52.0
7650,302.0,306.0,122.0,51.0
7680,322.0,304.0,122.0,51.0
7710,307.0,309.0,122.0,51.0
7740,328.0,301.0,122.0,51.0
7770,327.0,301.0,122.0,51.0
7800,327.0,301.0,122.0,51.0
7800,307.0,303.0,117.0,55.0
7830,304.0,302.0,117.0,55.0
7860,305.0,302.0,117.0,55.0
7890,305.0,302.0,117.0,55.0
7920,301.0,303.0,117.0,55.0
7950,286.0,290.0,117.0,55.0
8400,294.0,305.0,132.0,57.0
8430,305.0,325.0,132.0,57.0
8460,328.0,316.0,132.0,57.0
8490,340.0,312.0,132.0,57.0
8520,341.0,314.0,132.0,57.0
8550,363.0,325.0,132.0,57.0
8730,574.0,362.0,85.0,71.0
8760,580.0,370.0,85.0,71.0
8790,583.0,372.0,85.0,71.0
8820,603.0,381.0,85.0,71.0
8850,603.0,382.0,85.0,71.0
8880,594.0,363.0,85.0,71.0
9780,557.0,360.0,104.0,83.0
9810,544.0,377.0,104.0,83.0
9840,546.0,378.0,104.0,83.0
9870,547.0,379.0,104.0,83.0
9900,542.0,385.0,104.0,83.0
9930,548.0,384.0,104.0,83.0
10020,567.0,361.0,99.0,76.0
10050,586.0,359.0,99.0,76.0
10080,587.0,363.0,99.0,76.0
10110,588.0,361.0,99.0,76.0
10140,572.0,357.0,99.0,76.0
10170,564.0,361.0,99.0,76.0
10470,555.0,363.0,116.0,76.0
10500,542.0,375.0,116.0,76.0
10530,542.0,374.0,116.0,76.0
10560,537.0,372.0,116.0,76.0
10590,551.0,363.0,116.0,76.0
10620,555.0,363.0,116.0,76.0
10680,561.0,355.0,107.0,94.0
10710,565.0,346.0,107.0,94.0
10740,570.0,346.0,107.0,94.0
10770,560.0,353.0,107.0,94.0
10800,561.0,355.0,107.0,94.0
10830,565.0,352.0,107.0,94.0
10830,552.0,360.0,114.0,82.0
10860,551.0,360.0,114.0,82.0
10890,552.0,361.0,114.0,82.0
10920,553.0,361.0,114.0,82.0
10950,553.0,361.0,114.0,82.0
10980,553.0,361.0,114.0,82.0
10980,551.0,361.0,121.0,79.0
11010,562.0,357.0,121.0,79.0
11040,563.0,355.0,121.0,79.0
11070,561.0,357.0,121.0,79.0
11100,560.0,357.0,121.0,79.0
11130,576.0,356.0,121.0,79.0
11130,580.0,362.0,94.0,63.0
11160,586.0,362.0,94.0,63.0
11190,565.0,375.0,94.0,63.0
11220,558.0,376.0,94.0,63.0
11250,558.0,377.0,94.0,63.0
11280,557.0,377.0,94.0,63.0
11310,565.0,361.0,102.0,77.0
11340,579.0,348.0,102.0,77.0
11370,578.0,349.0,102.0,77.0
11400,567.0,360.0,102.0,77.0
11430,578.0,350.0,102.0,77.0
11460,587.0,332.0,102.0,77.0
11460,575.0,331.0,102.0,88.0
11490,573.0,340.0,102.0,88.0
11520,569.0,339.0,102.0,88.0
11550,555.0,323.0,102.0,88.0
11580,564.0,335.0,102.0,88.0
11610,565.0,358.0,102.0,88.0
11610,381.0,388.0,155.0,84.0
11640,380.0,393.0,155.0,84.0
11670,384.0,392.0,155.0,84.0
11700,383.0,394.0,155.0,84.0
11730,386.0,393.0,155.0,84.0
11760,369.0,395.0,155.0,84.0
11760,391.0,399.0,74.0,80.0
11790,398.0,397.0,74.0,80.0
11820,391.0,399.0,74.0,80.0
11850,401.0,396.0,74.0,80.0
11880,395.0,397.0,74.0,80.0
11910,390.0,397.0,74.0,80.0
11910,385.0,392.0,140.0,88.0
11940,408.0,383.0,140.0,88.0
11970,406.0,391.0,140.0,88.0
12000,394.0,388.0,140.0,88.0
12030,391.0,385.0,140.0,88.0
12060,391.0,391.0,140.0,88.0
12240,390.0,402.0,71.0,70.0
12270,395.0,409.0,71.0,70.0
12300,391.0,405.0,71.0,70.0
12330,392.0,406.0,71.0,70.0
12360,395.0,384.0,71.0,70.0
12390,409.0,404.0,71.0,70.0
12600,392.0,407.0,85.0,67.0
12630,402.0,401.0,85.0,67.0
12660,382.0,406.0,85.0,67.0
12690,375.0,407.0,85.0,67.0
12720,371.0,407.0,85.0,67.0
12750,381.0,411.0,85.0,67.0
13080,385.0,402.0,105.0,75.0
13110,361.0,403.0,105.0,75.0
13140,361.0,403.0,105.0,75.0
13170,362.0,403.0,105.0,75.0
13200,357.0,404.0,105.0,75.0
13230,365.0,402.0,105.0,75.0
13230,393.0,406.0,70.0,69.0
13260,416.0,397.0,70.0,69.0
13290,427.0,395.0,70.0,69.0
13320,428.0,394.0,70.0,69.0
13350,415.0,399.0,70.0,69.0
13380,402.0,403.0,70.0,69.0
13380,409.0,390.0,113.0,84.0
13410,411.0,387.0,113.0,84.0
13440,412.0,387.0,113.0,84.0
13470,412.0,387.0,113.0,84.0
13500,414.0,388.0,113.0,84.0
13530,413.0,389.0,113.0,84.0
13530,405.0,393.0,126.0,80.0
13560,409.0,391.0,126.0,80.0
13590,407.0,392.0,126.0,80.0
13620,406.0,392.0,126.0,80.0
13650,410.0,391.0,126.0,80.0
13680,408.0,392.0,126.0,80.0
13680,389.0,392.0,138.0,87.0
13710,386.0,392.0,138.0,87.0
13740,392.0,387.0,138.0,87.0
13770,393.0,390.0,138.0,87.0
13800,388.0,392.0,138.0,87.0
13830,392.0,390.0,138.0,87.0
13830,388.0,389.0,147.0,91.0
13860,389.0,388.0,147.0,91.0
13890,386.0,387.0,147.0,91.0
13920,387.0,388.0,147.0,91.0
13950,386.0,387.0,147.0,91.0
13980,386.0,388.0,147.0,91.0
13980,391.0,397.0,146.0,83.0
14010,390.0,395.0,146.0,83.0
14040,390.0,395.0,146.0,83.0
14070,387.0,395.0,146.0,83.0
14100,388.0,395.0,146.0,83.0
14130,389.0,394.0,146.0,83.0
14130,392.0,401.0,94.0,77.0
14160,391.0,401.0,94.0,77.0
14190,392.0,401.0,94.0,77.0
