f0,W,H,FPS,w0,h0,w,h
8790,858,480,30,577,360,91,80
9480,858,480,30,603,90,160,140
9690,858,480,30,558,361,110,75
9780,858,480,30,557,360,104,83
9900,858,480,30,568,360,104,82
9930,858,480,30,570,360,97,80
9960,858,480,30,568,362,98,76
9990,858,480,30,567,361,102,77
10020,858,480,30,567,361,99,76
10050,858,480,30,580,360,86,73
10080,858,480,30,569,359,97,85
10110,858,480,30,570,360,95,83
10140,858,480,30,568,358,89,86
10470,858,480,30,555,363,116,76
10500,858,480,30,559,363,111,75
10530,858,480,30,557,359,115,78
10560,858,480,30,558,357,103,88
10650,858,480,30,564,353,91,91
10680,858,480,30,561,355,107,94
10710,858,480,30,564,357,104,85
10740,858,480,30,576,357,86,83
10770,858,480,30,559,359,103,86
10800,858,480,30,551,361,112,79
10830,858,480,30,552,360,114,82
10860,858,480,30,550,362,120,82
10890,858,480,30,552,361,117,83
10920,858,480,30,538,359,135,81
10950,858,480,30,550,360,119,80
10980,858,480,30,551,361,121,79
11010,858,480,30,561,359,117,75
11040,858,480,30,558,360,112,66
11070,858,480,30,565,358,112,72
11100,858,480,30,566,358,113,75
11130,858,480,30,580,362,94,63
11190,858,480,30,570,361,98,70
11220,858,480,30,568,361,97,77
11250,858,480,30,566,360,99,76
11280,858,480,30,564,361,109,75
11310,858,480,30,565,361,102,77
11340,858,480,30,563,360,108,76
11370,858,480,30,566,362,103,75
11400,858,480,30,567,358,105,81
11430,858,480,30,579,363,94,66
11460,858,480,30,575,331,102,88
11490,858,480,30,544,348,127,85
11520,858,480,30,569,348,99,88
11550,858,480,30,467,346,125,92
11580,858,480,30,436,370,125,96
11610,858,480,30,381,388,155,84
11640,858,480,30,373,393,160,79
11670,858,480,30,420,395,118,74
11700,858,480,30,388,393,144,82
11730,858,480,30,387,403,119,76
11760,858,480,30,391,399,74,80
11790,858,480,30,390,395,139,82
11820,858,480,30,386,398,144,80
11850,858,480,30,397,394,125,81
11880,858,480,30,402,395,121,81
11910,858,480,30,385,392,140,88
12000,858,480,30,390,400,135,79
12120,858,480,30,495,312,124,50
12150,858,480,30,494,313,126,49
12180,858,480,30,494,312,127,49
12240,858,480,30,390,402,71,70
12360,858,480,30,388,408,110,57
12510,858,480,30,387,402,120,72
12540,858,480,30,387,397,156,78
12570,858,480,30,387,413,99,50
12600,858,480,30,392,407,85,67
12630,858,480,30,390,403,83,75
12780,858,480,30,376,397,91,80
12930,858,480,30,382,402,85,78
12960,858,480,30,383,398,79,82
13080,858,480,30,385,402,105,75
13110,858,480,30,386,402,107,75
13140,858,480,30,388,401,106,77
13170,858,480,30,387,403,98,77
13200,858,480,30,382,400,77,80
13230,858,480,30,393,406,70,69
13260,858,480,30,391,406,115,73
13290,858,480,30,420,396,87,83
13320,858,480,30,411,393,102,87
13350,858,480,30,392,399,126,79
13380,858,480,30,409,390,113,84
13410,858,480,30,393,397,125,73
13440,858,480,30,405,392,122,82
13470,858,480,30,405,392,125,81
13500,858,480,30,402,393,131,80
13530,858,480,30,405,393,126,80
13560,858,480,30,398,391,130,85
13590,858,480,30,407,393,123,80
13620,858,480,30,405,389,125,85
13650,858,480,30,396,391,130,87
13680,858,480,30,389,392,138,87
13710,858,480,30,389,395,131,83
13740,858,480,30,388,385,142,95
13770,858,480,30,390,388,144,92
13800,858,480,30,412,387,124,85
13830,858,480,30,388,389,147,91
13860,858,480,30,385,388,151,92
13890,858,480,30,383,390,145,90
13920,858,480,30,410,388,133,83
13950,858,480,30,388,402,116,78
13980,858,480,30,391,397,146,83
14010,858,480,30,394,400,141,75
14040,858,480,30,393,399,144,77
14070,858,480,30,390,399,92,81
14100,858,480,30,392,401,86,74
14130,858,480,30,392,401,94,77
14160,858,480,30,391,402,94,76
14190,858,480,30,392,401,92,77
14220,858,480,30,392,400,96,78
14250,858,480,30,392,400,107,78
14280,858,480,30,392,400,108,79
14310,858,480,30,392,402,101,75
14340,858,480,30,390,400,133,79
14370,858,480,30,379,401,109,79
14400,858,480,30,392,394,117,83
14430,858,480,30,390,395,136,82
14460,858,480,30,391,399,96,81
14520,858,480,30,392,404,98,70
14550,858,480,30,393,399,106,81
14580,858,480,30,397,397,111,83
14610,858,480,30,391,397,122,82
14640,858,480,30,377,400,126,80
14670,858,480,30,391,402,119,74
14700,858,480,30,392,396,119,83
14730,858,480,30,390,405,87,75
14760,858,480,30,390,395,126,83
14790,858,480,30,392,396,121,83
14820,858,480,30,393,397,111,82
14850,858,480,30,395,399,109,78
14880,858,480,30,393,400,109,78
14910,858,480,30,393,400,109,77
14940,858,480,30,396,394,113,84
14970,858,480,30,393,400,115,77
15000,858,480,30,396,392,107,86
15030,858,480,30,392,393,124,76
15060,858,480,30,399,389,119,86
15090,858,480,30,375,372,134,82
15180,858,480,30,160,318,79,77
16230,858,480,30,173,321,86,49
17310,858,480,30,289,278,98,45
17340,858,480,30,297,274,91,50
17400,858,480,30,294,276,94,48
17430,858,480,30,288,271,101,55
17460,858,480,30,287,279,105,45
17490,858,480,30,290,278,101,46
17520,858,480,30,291,278,100,47
17550,858,480,30,299,269,90,53
17580,858,480,30,290,272,101,55
17610,858,480,30,293,274,96,52
17640,858,480,30,296,270,98,55
17670,858,480,30,292,265,101,61
17730,858,480,30,295,273,96,51
17760,858,480,30,292,273,100,54
17790,858,480,30,501,320,114,39
17820,858,480,30,294,274,96,51
17850,858,480,30,287,280,105,45
17880,858,480,30,275,274,115,55
17910,858,480,30,281,279,110,44
17940,858,480,30,276,278,116,47
17970,858,480,30,284,278,110,50
18000,858,480,30,285,276,112,46
18030,858,480,30,283,276,110,50
18060,858,480,30,287,279,110,48
18090,858,480,30,276,275,116,52
18120,858,480,30,287,272,106,52
18150,858,480,30,289,273,104,48
18180,858,480,30,284,274,111,50
18210,858,480,30,282,274,112,50
18240,858,480,30,284,273,108,53
18270,858,480,30,288,272,106,52
18300,858,480,30,291,282,101,46
18330,858,480,30,293,281,96,43
18360,858,480,30,319,277,68,39
18390,858,480,30,293,279,97,45
18420,858,480,30,285,271,107,58
18450,858,480,30,307,277,81,47
18480,858,480,30,313,277,79,43
